[0, 0, (2.0, 66.0), (118.5, 146.5)]
[0, 1, (118.5, 66.0), (235.0, 146.5)]
[0, 2, (235.0, 66.0), (351.5, 146.5)]
[0, 3, (351.5, 66.0), (468.0, 146.5)]
[0, 4, (468.0, 66.0), (584.5, 146.5)]
[0, 5, (584.5, 66.0), (701.0, 146.5)]
[0, 6, (701.0, 66.0), (817.5, 146.5)]
[1, 0, (2.0, 146.5), (118.5, 227.0)]
[1, 1, (118.5, 146.5), (235.0, 227.0)]
[1, 2, (235.0, 146.5), (351.5, 227.0)]
[1, 3, (351.5, 146.5), (468.0, 227.0)]
[1, 4, (468.0, 146.5), (584.5, 227.0)]
[1, 5, (584.5, 146.5), (701.0, 227.0)]
[1, 6, (701.0, 146.5), (817.5, 227.0)]
[2, 0, (2.0, 227.0), (118.5, 307.5)]
[2, 1, (118.5, 227.0), (235.0, 307.5)]
[2, 2, (235.0, 227.0), (351.5, 307.5)]
[2, 3, (351.5, 227.0), (468.0, 307.5)]
[2, 4, (468.0, 227.0), (584.5, 307.5)]
[2, 5, (584.5, 227.0), (701.0, 307.5)]
[2, 6, (701.0, 227.0), (817.5, 307.5)]
[3, 0, (2.0, 307.5), (118.5, 388.0)]
[3, 1, (118.5, 307.5), (235.0, 388.0)]
[3, 2, (235.0, 307.5), (351.5, 388.0)]
[3, 3, (351.5, 307.5), (468.0, 388.0)]
[3, 4, (468.0, 307.5), (584.5, 388.0)]
[3, 5, (584.5, 307.5), (701.0, 388.0)]
[3, 6, (701.0, 307.5), (817.5, 388.0)]
[4, 0, (2.0, 388.0), (118.5, 468.5)]
[4, 1, (118.5, 388.0), (235.0, 468.5)]
[4, 2, (235.0, 388.0), (351.5, 468.5)]
[4, 3, (351.5, 388.0), (468.0, 468.5)]
[4, 4, (468.0, 388.0), (584.5, 468.5)]
[4, 5, (584.5, 388.0), (701.0, 468.5)]
[4, 6, (701.0, 388.0), (817.5, 468.5)]
[5, 0, (2.0, 468.5), (118.5, 549.0)]
[5, 1, (118.5, 468.5), (235.0, 549.0)]
[5, 2, (235.0, 468.5), (351.5, 549.0)]
[5, 3, (351.5, 468.5), (468.0, 549.0)]
[5, 4, (468.0, 468.5), (584.5, 549.0)]
[5, 5, (584.5, 468.5), (701.0, 549.0)]
[5, 6, (701.0, 468.5), (817.5, 549.0)]
